Name,Fertility,Photoperiod,Temperature,Rainfall,pH,Light_Hours,Light_Intensity,Rh,Nitrogen,Phosphorus,Potassium,Category_pH,Soil_Type,Season
Strawberry,Moderate,Day Neutral,11.71136516,811.9189275,6.35188586,13.24578382,491.8972744,91.76778542,158.3991593,124.2293796,247.6265661,slightly_acidic,Loam,Summer
Endive,High,Short Day Period,17.92319909,1055.394774,7.426369606,13.10447027,264.6112715,47.65269307,56.01953438,118.0114315,124.4696115,alkaline,Loam,Winter
Spinach,High,Short Day Period,15.32427474,836.0555378,7.136015832,11.87434735,218.8475373,76.38605952,117.844523,63.15152467,62.08905651,neutral,Sandy Loam,Fall
Spinach,High,Day Neutral,14.14686517,799.0792346,6.394812949,12.09258682,220.8473589,61.01242117,118.9705483,65.51236978,63.3753076,slightly_acidic,Sandy Loam,Spring
Chard,High,Day Neutral,26.29912305,560.7113822,6.704252847,13.3381809,917.077521,46.80367851,205.6698077,215.076128,399.8553939,neutral,Sandy Clay Loam,Fall
Broccoli,Moderate,Short Day Period,18.09654178,589.7241361,6.610742964,6.018903783,122.1621255,49.49585353,123.7980613,100.0347,139.9507736,neutral,Silt Loam,Winter
Arugula,Moderate,Short Day Period,19.84514734,460.8294096,7.641135754,10.50063704,251.6483814,39.10711367,168.564038,335.2906198,151.569561,alkaline,Loam,Spring
Spinach,High,Day Neutral,15.01413828,1057.012923,6.123401532,13.28652012,222.2418635,52.98050908,111.3353042,63.86212682,58.24411363,slightly_acidic,Sandy Loam,Fall
Cauliflowers,High,Short Day Period,27.19570722,985.1808939,6.480186823,7.496280463,360.7245737,54.63382154,155.1786616,57.06489071,182.2506979,slightly_acidic,Loam,Winter
Radicchio,High,Short Day Period,17.71004326,1351.581309,7.04837718,7.02074283,141.1362794,93.75726806,124.8498591,41.24610254,91.74304543,neutral,Loam,Spring
Cauliflowers,High,Short Day Period,17.06666392,760.827155,6.711552367,6.411609883,308.4609104,56.02527547,145.8024447,48.00125956,193.719309,neutral,Loam,Summer
Eggplants,High,Short Day Period,23.12476062,1234.909769,6.672148159,9.387991128,451.7447543,55.71717204,148.0511546,149.1559488,238.2141376,neutral,Sandy Clay Loam,Winter
Watermelon,Moderate,Day Neutral,34.82789768,585.48437,6.620042617,6.632433669,264.2118001,89.37246335,95.38271775,51.57546042,60.46496891,neutral,Sandy Loam,Summer
Lettuce,Moderate,Day Neutral,15.22462705,1358.060748,6.023173274,15.49391011,377.8861411,55.47956062,143.5729578,42.12213165,272.8425282,slightly_acidic,Clay Loam,Fall
Cress,High,Short Day Period,14.73253014,975.1309455,6.651526288,12.0843136,327.9626336,38.15800064,100.4998327,132.8196039,84.29806207,neutral,Sandy Clay Loam,Spring
Cucumbers,High,Short Day Period,29.13606866,1026.229079,7.567594938,9.568577883,596.2026917,68.91323741,49.45391619,20.85010293,79.63138771,alkaline,Sandy Loam,Summer
Chard,High,Day Neutral,24.93721897,570.057507,7.005641728,13.37078009,922.6163429,44.71141994,113.9841573,233.7137932,381.434198,neutral,Loam,Fall
Eggplants,High,Short Day Period,22.69668172,1340.002908,6.187609007,8.588074305,534.4100196,54.9298753,149.729128,152.1660173,226.5295479,slightly_acidic,Sandy Loam,Fall
Kale,High,Short Day Period,17.99251219,571.9807332,5.648058266,9.452246619,66.24364788,93.74278859,153.4133911,72.52341927,130.327791,moderately_acidic,Loam,Winter
Chilli Peppers,Moderate,Short Day Period,22.57303024,896.8374538,6.238500222,9.454891002,606.0242663,70.31413455,368.6929845,146.779742,483.7970528,slightly_acidic,Clay Loam,Spring
Chilli Peppers,Moderate,Day Neutral,28.61546942,761.0759722,5.544461128,8.267574914,469.7439518,72.57688867,328.3837381,144.3689951,550.1966363,moderately_acidic,Sandy Loam,Spring
Cabbage,High,Day Neutral,23.09572121,951.2947618,7.276270915,7.697566546,412.3136967,76.03150835,131.1522548,60.03290424,189.7554661,neutral,Loam,Spring
Grapes,Moderate,Day Neutral,29.62945803,857.9136695,6.178979926,13.46744898,595.8570121,89.74745147,137.0239682,64.78008681,110.876538,slightly_acidic,Sandy Clay Loam,Summer
Endive,Moderate,Day Neutral,22.28632105,1230.071928,6.794446618,12.74090121,250.3551773,55.7471665,55.69301351,117.4626133,198.409597,neutral,Silt Loam,Fall
Spinach,High,Short Day Period,13.29037044,860.7470425,6.315051079,12.50445157,197.2694459,51.3766365,124.9423301,65.89491637,61.62416491,slightly_acidic,Sandy Loam,Fall
Cress,Moderate,Short Day Period,15.30704541,1089.596188,6.386633676,10.14210822,230.2217419,46.87135634,86.97554979,130.5449943,94.3303382,slightly_acidic,Sandy Loam,Spring
Cress,High,Short Day Period,17.01440456,1633.467202,6.937080122,10.51136858,357.0359816,42.97210988,122.8657999,98.88002811,136.5669807,neutral,Loam,Fall
Grapes,Moderate,Short Day Period,25.5758507,807.778697,6.529593131,13.20785041,528.6159308,90.83715479,132.2755602,58.50550882,138.1445054,neutral,Silt Loam,Fall
Broccoli,High,Short Day Period,19.66624421,790.2008698,6.599795339,7.285455148,362.5315391,57.47487004,106.920371,94.76249696,169.3437845,neutral,Loam,Summer
Strawberry,Moderate,Short Day Period,16.91471334,854.6603238,6.714738126,12.32943386,501.8688864,91.71024436,172.3821411,123.965838,252.3710926,neutral,Loam,Summer
Eggplants,High,Short Day Period,25.46107221,1562.498395,6.399068023,8.854511632,692.097461,53.12375608,140.8852264,155.1391045,232.11342,slightly_acidic,Sandy Loam,Spring
Beet,High,Short Day Period,18.62554642,623.6777447,6.54833179,6.327165107,120.5796284,99.44898113,132.6051629,161.0665042,96.21587301,neutral,Sandy Loam,Spring
Green Peas,Moderate,Day Neutral,21.15440267,1113.995608,5.317362096,7.01179369,338.588806,60.02448031,133.3753908,35.07267912,116.9482446,strongly_acidic,Sandy,Winter
Radicchio,High,Day Neutral,12.30673581,2189.234836,6.42918711,7.917810474,198.7126788,96.65641675,131.7659585,41.00828854,107.3912265,slightly_acidic,Silt Loam,Spring
Endive,High,Day Neutral,18.04864739,1268.436933,7.494515794,12.28562476,284.5601753,55.15571308,53.74330688,153.0756895,192.1672199,alkaline,Loam,Summer
Kale,Moderate,Day Neutral,14.32367019,544.949598,5.517797496,9.184185059,76.04258889,92.81770675,175.4706931,59.74673471,132.3435623,moderately_acidic,Loam,Winter
Grapes,Moderate,Day Neutral,21.75046288,736.7631501,6.438588603,12.79101242,629.2018901,94.38882674,141.5388762,72.09733562,126.9372747,slightly_acidic,Loam,Summer
Chard,High,Day Neutral,20.81766458,688.3345368,6.721417768,12.99585625,899.6708488,47.23900757,169.3602645,178.8426948,272.3292978,neutral,Loam,Spring
Spinach,High,Short Day Period,13.53476634,1064.456391,6.408043933,10.86521719,241.0929382,59.09319452,119.2252904,63.07881182,63.9549743,slightly_acidic,Sandy Loam,Fall
Potatoes,Moderate,Day Neutral,16.45161613,606.1559368,5.649584688,6.311638305,330.6933505,72.29986758,269.1388526,82.72306526,172.0425595,moderately_acidic,Loam,Fall
Asparagus,High,Short Day Period,23.79794575,1025.825951,6.417021833,9.027751597,436.1919163,46.38176319,161.5586697,89.52724208,202.950842,slightly_acidic,Sandy Loam,Spring
Chard,High,Short Day Period,18.67549871,658.0848072,6.861522965,12.07073788,908.3253643,45.62227464,123.8736778,227.1738731,348.3848857,neutral,Loam,Spring
Cress,Moderate,Day Neutral,18.36741138,1430.193418,6.760157696,11.1022124,249.2813989,49.68963917,80.00974584,88.33449729,61.48964677,neutral,Loam,Spring
Endive,High,Short Day Period,21.20115984,1188.33031,6.931526767,13.49700613,237.8635471,46.76571575,45.79834545,116.1862939,180.6267185,neutral,Sandy Clay Loam,Spring
Eggplants,High,Short Day Period,23.31956418,1357.321138,6.003578406,8.34232101,477.7385705,54.00455613,145.260964,156.2302853,217.9579601,slightly_acidic,Sandy Loam,Fall
Asparagus,High,Short Day Period,24.28771106,980.3893131,6.41780131,8.699074696,383.1573272,52.63692206,156.5217709,107.6752403,192.9750861,slightly_acidic,Sandy Loam,Summer
Chilli Peppers,Moderate,Short Day Period,25.92181473,895.3959985,6.027065265,7.922654736,394.5392225,80.51726314,308.1191854,148.3207139,493.3370603,slightly_acidic,Sandy Clay Loam,Summer
Asparagus,High,Day Neutral,24.09001157,1217.541955,6.410835349,10.10049132,388.8428299,51.23739478,163.8928554,101.1850234,179.4171616,slightly_acidic,Loam,Spring
Broccoli,Moderate,Short Day Period,18.87646825,1014.485519,5.882698433,7.867449521,250.2960328,52.04973354,110.9892931,92.78480545,151.1958501,moderately_acidic,Sandy Clay Loam,Spring
Beet,High,Short Day Period,25.0132614,730.3179888,7.039854781,6.555613279,120.7512527,98.18504406,117.6006196,156.4597771,98.28156175,neutral,Sandy Loam,Spring
Grapes,High,Day Neutral,23.72608469,831.0914714,6.543453568,12.57017405,596.7335299,92.37373686,131.2385114,68.46307262,140.7739785,neutral,Clay Loam,Fall
Green Peas,Moderate,Short Day Period,16.86128368,707.2030785,6.059697163,7.069010161,336.5696316,61.77282933,152.8871377,47.97736099,100.9008942,slightly_acidic,Sandy,Winter
Eggplants,High,Short Day Period,24.82583573,1294.340215,5.99401132,9.523349885,599.268457,57.33640716,140.9878118,155.6709538,228.9235494,moderately_acidic,Sandy Loam,Fall
Eggplants,High,Short Day Period,24.28195386,1550.051891,6.211687119,8.261993754,474.0904529,54.19786957,144.3138128,154.7689201,235.8463693,slightly_acidic,Sandy Loam,Summer
